Timestamp_Local_Human,Timestamp_Local_EpochMs,Timestamp_Arduino,DeviceName,DeviceAddress,Ax,Ay,Az,Gx,Gy,Gz,Q0,Q1,Q2,Q3,Env1,Env2,Env3,Env4
2026:07:03_17:26:24.276,1783092384276,44,LT,73:5A:BC:29:A9:13,1.0096436,-0.057495117,-0.026123047,1.0375977,-0.18310545,0.122070305,0.69698817,-0.025401313,-0.7164278,0.016874295,60.0,65.0,77.0,82.0
2026:07:03_17:26:24.284,1783092384284,58,LT,73:5A:BC:29:A9:13,1.010376,-0.056884766,-0.02734375,1.0986328,-0.30517578,0.18310545,0.69722337,-0.024355521,-0.7162551,0.016012726,62.0,68.0,78.0,81.0
2026:07:03_17:26:24.362,1783092384362,158,LT,73:5A:BC:29:A9:13,1.0113525,-0.05871582,-0.024902344,0.67138666,-0.061035153,0.42724606,0.69837815,-0.024446955,-0.7151073,0.01682961,61.0,70.0,80.0,82.0
2026:07:03_17:26:24.633,1783092384633,441,LT,73:5A:BC:29:A9:13,1.0098877,-0.052978516,-0.028198242,0.42724606,-0.061035153,-0.122070305,0.69677764,-0.022137705,-0.71675366,0.01632495,60.0,68.0,80.0,81.0
2026:07:03_17:26:24.634,1783092384634,459,LT,73:5A:BC:29:A9:13,1.0101318,-0.05419922,-0.028198242,0.5493164,-0.061035153,-0.061035153,0.6973645,-0.021402512,-0.7162188,0.015701735,60.0,67.0,78.0,81.0
2026:07:03_17:26:24.694,1783092384694,489,LT,73:5A:BC:29:A9:13,1.0100098,-0.05493164,-0.028442383,0.7324218,-0.061035153,0.061035153,0.69654876,-0.021534352,-0.71700025,0.016079262,60.0,69.0,79.0,82.0
2026:07:03_17:26:24.502,1783092384502,320,LT,73:5A:BC:29:A9:13,1.0108643,-0.05053711,-0.024291992,1.0375977,-0.061035153,0.24414061,0.69837546,-0.021218985,-0.71526337,0.014526408,63.0,68.0,79.0,81.0
2026:07:03_17:26:24.722,1783092384722,536,LT,73:5A:BC:29:A9:13,1.0114746,-0.05517578,-0.027709961,0.18310545,0.122070305,0.122070305,0.6976579,-0.022045257,-0.7158884,0.016817227,61.0,68.0,78.0,81.0
2026:07:03_17:26:24.272,1783092384272,28,LT,73:5A:BC:29:A9:13,1.0107422,-0.05859375,-0.02734375,0.9155273,-0.061035153,-0.061035153,0.6964463,-0.026222097,-0.7169102,0.017493881,59.0,67.0,78.0,81.0
2026:07:03_17:26:24.590,1783092384590,409,LT,73:5A:BC:29:A9:13,1.0114746,-0.052856445,-0.028198242,0.48828122,-0.122070305,0.24414061,0.6970701,-0.02230005,-0.7164645,0.016313655,63.0,68.0,79.0,83.0
2026:07:03_17:26:24.766,1783092384766,582,LT,73:5A:BC:29:A9:13,1.010498,-0.056274414,-0.025390625,0.122070305,0.061035153,-0.061035153,0.6981941,-0.021653157,-0.7153835,0.016551783,62.0,68.0,79.0,82.0
2026:07:03_17:26:24.320,1783092384320,128,LT,73:5A:BC:29:A9:13,1.0098877,-0.056762695,-0.026489258,0.0,0.122070305,0.48828122,0.696897,-0.024148984,-0.7165737,0.016290337,62.0,69.0,79.0,83.0
2026:07:03_17:26:24.413,1783092384413,229,LT,73:5A:BC:29:A9:13,1.0115967,-0.052978516,-0.02734375,0.24414061,-0.061035153,0.122070305,0.69725907,-0.022318525,-0.716311,0.014906788,63.0,69.0,78.0,81.0
2026:07:03_17:26:24.459,1783092384459,275,LT,73:5A:BC:29:A9:13,1.0095215,-0.052246094,-0.023803711,0.48828122,-0.24414061,0.061035153,0.6981032,-0.022054166,-0.7154951,0.014956479,63.0,70.0,79.0,81.0
2026:07:03_17:26:24.464,1783092384464,289,LT,73:5A:BC:29:A9:13,1.010376,-0.052124023,-0.024169922,0.5493164,-0.18310545,0.0,0.6987447,-0.021530323,-0.71489286,0.014552206,62.0,69.0,79.0,82.0
2026:07:03_17:26:24.818,1783092384818,637,LT,73:5A:BC:29:A9:13,1.0114746,-0.049804688,-0.02758789,0.122070305,0.18310545,-0.122070305,0.6973717,-0.020035006,-0.71626985,0.014840894,62.0,69.0,79.0,80.0
2026:07:03_17:26:24.720,1783092384720,521,LT,73:5A:BC:29:A9:13,1.0102539,-0.055419922,-0.028808594,0.24414061,0.122070305,0.18310545,0.6966119,-0.021823375,-0.7169209,0.0164869,64.0,70.0,78.0,80.0
2026:07:03_17:26:24.549,1783092384549,378,LT,73:5A:BC:29:A9:13,1.010498,-0.059326172,-0.025268555,0.3662109,0.122070305,0.24414061,0.69796824,-0.0234626,-0.71552694,0.017386882,62.0,68.0,79.0,81.0
2026:07:03_17:26:24.319,1783092384319,115,LT,73:5A:BC:29:A9:13,1.0100098,-0.056274414,-0.02709961,0.18310545,0.061035153,0.5493164,0.6976568,-0.023783645,-0.71585315,0.015961325,63.0,69.0,79.0,79.0
2026:07:03_17:26:24.366,1783092384366,186,LT,73:5A:BC:29:A9:13,1.0112305,-0.055908203,-0.025512695,0.5493164,-0.24414061,0.18310545,0.6978759,-0.023280084,-0.71566,0.01580372,63.0,68.0,78.0,82.0
2026:07:03_17:26:24.411,1783092384411,219,LT,73:5A:BC:29:A9:13,1.0107422,-0.052856445,-0.026611328,0.061035153,-0.122070305,0.122070305,0.6979109,-0.02179999,-0.71570265,0.014363115,63.0,69.0,78.0,81.0
2026:07:03_17:26:24.813,1783092384813,593,LT,73:5A:BC:29:A9:13,1.0098877,-0.05432129,-0.025878906,0.0,0.061035153,-0.122070305,0.6974877,-0.02152137,-0.7160805,0.016378336,62.0,68.0,78.0,81.0
2026:07:03_17:26:24.413,1783092384413,244,LT,73:5A:BC:29:A9:13,1.012207,-0.053710938,-0.028076172,0.48828122,0.0,0.18310545,0.69664717,-0.022894507,-0.71687406,0.01555534,62.0,69.0,78.0,82.0
2026:07:03_17:26:24.455,1783092384455,259,LT,73:5A:BC:29:A9:13,1.0113525,-0.053466797,-0.026855469,0.48828122,0.0,0.18310545,0.69742185,-0.022390198,-0.71614414,0.015176621,62.0,70.0,80.0,81.0
2026:07:03_17:26:24.724,1783092384724,552,LT,73:5A:BC:29:A9:13,1.0119629,-0.055908203,-0.02722168,0.30517578,0.122070305,0.122070305,0.69715947,-0.022218442,-0.7163641,0.017005678,63.0,68.0,77.0,82.0
2026:07:03_17:26:24.588,1783092384588,393,LT,73:5A:BC:29:A9:13,1.0117188,-0.057861328,-0.028564453,0.42724606,0.0,0.24414061,0.6971558,-0.023329357,-0.7163259,0.017288683,62.0,69.0,79.0,81.0
2026:07:03_17:26:24.592,1783092384592,424,LT,73:5A:BC:29:A9:13,1.0107422,-0.052612305,-0.027832031,0.42724606,-0.122070305,0.0,0.69716114,-0.021029195,-0.71644074,0.015105767,61.0,67.0,77.0,80.0
2026:07:03_17:26:24.906,1783092384906,715,LT,73:5A:BC:29:A9:13,1.0083008,-0.048339844,-0.028076172,0.61035156,-0.061035153,-0.3662109,0.697098,-0.01948668,-0.7165578,0.01453304,64.0,70.0,78.0,80.0
2026:07:03_17:26:24.323,1783092384323,144,LT,73:5A:BC:29:A9:13,1.0106201,-0.05822754,-0.026245117,0.122070305,0.061035153,0.42724606,0.69761366,-0.024308661,-0.7158652,0.016514849,61.0,69.0,78.0,82.0
2026:07:03_17:26:24.858,1783092384858,652,LT,73:5A:BC:29:A9:13,1.012207,-0.05029297,-0.025268555,0.24414061,0.122070305,-0.122070305,0.6981118,-0.020128882,-0.71554226,0.015017929,62.0,69.0,78.0,81.0
2026:07:03_17:26:24.814,1783092384814,608,LT,73:5A:BC:29:A9:13,1.0096436,-0.052856445,-0.02734375,-0.061035153,0.061035153,-0.30517578,0.6971087,-0.020663409,-0.716495,0.015465591,61.0,68.0,78.0,80.0
2026:07:03_17:26:24.861,1783092384861,685,LT,73:5A:BC:29:A9:13,1.0115967,-0.05029297,-0.025024414,0.122070305,0.0,-0.24414061,0.69822526,-0.019778863,-0.7154467,0.014759577,61.0,68.0,78.0,82.0
2026:07:03_17:26:24.502,1783092384502,303,LT,73:5A:BC:29:A9:13,1.0108643,-0.053222656,-0.024902344,0.8544921,-0.061035153,0.18310545,0.6981547,-0.022102915,-0.7154371,0.015261736,60.0,68.0,79.0,81.0
2026:07:03_17:26:24.507,1783092384507,331,LT,73:5A:BC:29:A9:13,1.0106201,-0.049560547,-0.025146484,1.0986328,-0.061035153,0.30517578,0.6979559,-0.020330677,-0.71571344,0.013794628,64.0,67.0,78.0,80.0
2026:07:03_17:26:24.542,1783092384542,346,LT,73:5A:BC:29:A9:13,1.0097656,-0.0513916,-0.026123047,0.97656244,-0.061035153,0.24414061,0.6977244,-0.021322187,-0.715886,0.014992048,63.0,68.0,80.0,82.0
2026:07:03_17:26:24.364,1783092384364,174,LT,73:5A:BC:29:A9:13,1.0114746,-0.057128906,-0.023803711,0.7324218,-0.18310545,0.3662109,0.69856167,-0.023726616,-0.714967,0.016197488,63.0,69.0,78.0,82.0
2026:07:03_17:26:24.859,1783092384859,666,LT,73:5A:BC:29:A9:13,1.0117188,-0.049804688,-0.025024414,0.30517578,0.0,-0.122070305,0.6984662,-0.018837886,-0.71525633,0.013782665,62.0,69.0,78.0,82.0
2026:07:03_17:26:24.695,1783092384695,506,LT,73:5A:BC:29:A9:13,1.0100098,-0.05456543,-0.029052734,0.42724606,0.061035153,0.122070305,0.6969356,-0.022350458,-0.7165773,0.017017921,61.0,68.0,79.0,82.0
2026:07:03_17:26:24.951,1783092384951,770,LT,73:5A:BC:29:A9:13,1.0113525,-0.051513672,-0.026245117,0.67138666,0.24414061,-0.18310545,0.69791144,-0.020163516,-0.71572125,0.015732236,63.0,68.0,78.0,82.0
2026:07:03_17:26:24.905,1783092384905,699,LT,73:5A:BC:29:A9:13,1.0095215,-0.0501709,-0.026977539,0.24414061,-0.061035153,-0.30517578,0.69746435,-0.020043915,-0.7161755,0.015043447,60.0,69.0,78.0,82.0
2026:07:03_17:26:24.907,1783092384907,726,LT,73:5A:BC:29:A9:13,1.0085449,-0.047729492,-0.02734375,0.61035156,0.0,-0.3662109,0.6976748,-0.01870647,-0.71603,0.013871711,64.0,68.0,78.0,82.0
2026:07:03_17:26:24.946,1783092384946,741,LT,73:5A:BC:29:A9:13,1.0101318,-0.05029297,-0.026855469,0.5493164,0.061035153,-0.3662109,0.6975416,-0.019609828,-0.7161152,0.014892908,64.0,68.0,78.0,82.0
2026:07:03_17:26:24.947,1783092384947,754,LT,73:5A:BC:29:A9:13,1.0106201,-0.05078125,-0.02734375,0.67138666,0.18310545,-0.24414061,0.6971528,-0.020463495,-0.7164487,0.015880171,61.0,70.0,79.0,81.0
2026:07:03_17:26:24.318,1783092384318,72,LT,73:5A:BC:29:A9:13,1.0106201,-0.057739258,-0.028686523,1.159668,-0.3662109,0.30517578,0.69651276,-0.024378395,-0.7169416,0.016193705,63.0,68.0,79.0,82.0
2026:07:03_17:26:24.684,1783092384684,474,LT,73:5A:BC:29:A9:13,1.0090332,-0.05517578,-0.02746582,0.67138666,-0.061035153,0.0,0.69718575,-0.022385756,-0.7163373,0.016832232,61.0,67.0,78.0,81.0
2026:07:03_17:26:24.815,1783092384815,622,LT,73:5A:BC:29:A9:13,1.010498,-0.050048828,-0.028930664,-0.061035153,0.122070305,-0.24414061,0.6966253,-0.019901702,-0.71700376,0.014645648,62.0,70.0,79.0,83.0
2026:07:03_17:26:24.956,1783092384956,784,LT,73:5A:BC:29:A9:13,1.0107422,-0.052246094,-0.025634766,0.5493164,0.18310545,-0.30517578,0.6979134,-0.021109376,-0.7156677,0.016804043,62.0,69.0,79.0,81.0
2026:07:03_17:26:24.731,1783092384731,563,LT,73:5A:BC:29:A9:13,1.0118408,-0.057250977,-0.026367188,0.24414061,0.122070305,0.0,0.69779754,-0.022703035,-0.7157133,0.017583475,63.0,68.0,77.0,81.0
