Timestamp_Local_Human,Timestamp_Local_EpochMs,Timestamp_Arduino,DeviceName,DeviceAddress,Ax,Ay,Az,Gx,Gy,Gz,Q0,Q1,Q2,Q3,Env1,Env2,Env3,Env4
2026:07:03_17:28:44.105,1783092524105,171,LT,73:5A:BC:29:A9:13,1.0130615,-0.036621094,-0.036499023,-2.0141602,0.48828122,-0.18310545,-0.42215633,-0.5553643,0.4579145,-0.551054,63.0,69.0,78.0,82.0
2026:07:03_17:28:44.143,1783092524143,199,LT,73:5A:BC:29:A9:13,1.0133057,-0.033203125,-0.036621094,-1.2207031,0.42724606,-0.24414061,-0.42298135,-0.555827,0.45751297,-0.5502874,61.0,69.0,78.0,81.0
2026:07:03_17:28:44.180,1783092524180,229,LT,73:5A:BC:29:A9:13,1.010498,-0.035888672,-0.032958984,-0.8544921,0.30517578,-0.7324218,-0.42350283,-0.5545005,0.45722216,-0.5514651,62.0,68.0,78.0,82.0
2026:07:03_17:28:44.183,1783092524183,271,LT,73:5A:BC:29:A9:13,1.0131836,-0.034301758,-0.035888672,0.18310545,0.30517578,-1.2207031,-0.42305523,-0.554818,0.45772696,-0.55107063,61.0,68.0,79.0,82.0
2026:07:03_17:28:44.185,1783092524185,289,LT,73:5A:BC:29:A9:13,1.0119629,-0.033447266,-0.03930664,0.7324218,0.122070305,-1.3427733,-0.42295194,-0.5556591,0.45774752,-0.55028516,62.0,68.0,78.0,81.0
2026:07:03_17:28:44.223,1783092524223,304,LT,73:5A:BC:29:A9:13,1.012207,-0.033203125,-0.041625977,2.0751953,-0.24414061,-1.4038085,-0.42254782,-0.5565628,0.45785126,-0.54959553,62.0,66.0,78.0,80.0
2026:07:03_17:28:44.226,1783092524226,334,LT,73:5A:BC:29:A9:13,1.0114746,-0.036621094,-0.037109375,1.6479491,0.122070305,-1.4038085,-0.42174816,-0.55539066,0.45802438,-0.5512484,63.0,68.0,77.0,82.0
2026:07:03_17:28:44.269,1783092524269,348,LT,73:5A:BC:29:A9:13,1.0118408,-0.036865234,-0.040649414,1.4038085,0.30517578,-1.3427733,-0.42131212,-0.55611664,0.4582612,-0.5506533,61.0,68.0,79.0,81.0
2026:07:03_17:28:44.270,1783092524270,363,LT,73:5A:BC:29:A9:13,1.012085,-0.035888672,-0.040893555,1.4648436,0.3662109,-0.97656244,-0.4210749,-0.55692494,0.45830917,-0.5499774,61.0,67.0,77.0,82.0
2026:07:03_17:28:44.312,1783092524312,389,LT,73:5A:BC:29:A9:13,1.0093994,-0.036987305,-0.039916992,1.7700194,-0.18310545,-0.793457,-0.41997075,-0.55650306,0.45894748,-0.55071586,63.0,68.0,79.0,80.0
