Timestamp_Local_Human,Timestamp_Local_EpochMs,Timestamp_Arduino,DeviceName,DeviceAddress,Ax,Ay,Az,Gx,Gy,Gz,Q0,Q1,Q2,Q3,Env1,Env2,Env3,Env4
2026:07:03_17:26:24.288,1783092384288,179,RT,34:D2:E3:0F:17:9E,0.91845703,-0.3848877,-0.020141602,0.061035153,0.24414061,0.7324218,0.19896401,-0.70975053,0.07784127,-0.6712674,60.0,65.0,73.0,80.0
2026:07:03_17:26:24.611,1783092384611,494,RT,34:D2:E3:0F:17:9E,0.92077637,-0.38256836,-0.022705078,0.061035153,0.061035153,0.24414061,0.19810484,-0.71022177,0.077371016,-0.67107767,56.0,65.0,72.0,81.0
2026:07:03_17:26:24.611,1783092384611,507,RT,34:D2:E3:0F:17:9E,0.92004395,-0.38391113,-0.022949219,0.061035153,-0.061035153,0.24414061,0.1978445,-0.7109428,0.077382274,-0.67038924,58.0,65.0,72.0,81.0
2026:07:03_17:26:24.371,1783092384371,232,RT,34:D2:E3:0F:17:9E,0.9197998,-0.38452148,-0.01928711,0.30517578,-0.061035153,1.0375977,0.19890524,-0.7099522,0.07769012,-0.67108905,59.0,65.0,72.0,81.0
2026:07:03_17:26:24.416,1783092384416,247,RT,34:D2:E3:0F:17:9E,0.91967773,-0.38464355,-0.018798828,0.122070305,0.061035153,0.9155273,0.1987019,-0.70939416,0.07722785,-0.6717923,59.0,65.0,72.0,80.0
2026:07:03_17:26:24.686,1783092384686,535,RT,34:D2:E3:0F:17:9E,0.91833496,-0.38586426,-0.020507812,0.061035153,0.0,0.18310545,0.1989231,-0.7100864,0.0781334,-0.6708901,59.0,66.0,71.0,81.0
2026:07:03_17:26:24.690,1783092384690,550,RT,34:D2:E3:0F:17:9E,0.91674805,-0.38586426,-0.01940918,-0.122070305,0.18310545,0.122070305,0.19944227,-0.7093585,0.07841375,-0.671473,57.0,65.0,73.0,80.0
2026:07:03_17:26:24.466,1783092384466,355,RT,34:D2:E3:0F:17:9E,0.91918945,-0.38500977,-0.018554688,0.122070305,-0.122070305,0.122070305,0.19852573,-0.709571,0.07749553,-0.6716269,60.0,66.0,71.0,80.0
2026:07:03_17:26:24.507,1783092384507,384,RT,34:D2:E3:0F:17:9E,0.91882324,-0.38476562,-0.020507812,0.122070305,0.061035153,0.24414061,0.19844992,-0.7101421,0.07761112,-0.67103213,59.0,67.0,73.0,80.0
2026:07:03_17:26:24.552,1783092384552,428,RT,34:D2:E3:0F:17:9E,0.91967773,-0.38183594,-0.01965332,0.0,0.18310545,0.61035156,0.1980132,-0.7098795,0.07722166,-0.6714836,57.0,65.0,72.0,81.0
2026:07:03_17:26:24.733,1783092384733,627,RT,34:D2:E3:0F:17:9E,0.9197998,-0.38415527,-0.020019531,0.18310545,-0.30517578,0.122070305,0.19846499,-0.7101984,0.077871144,-0.6709379,59.0,64.0,72.0,81.0
2026:07:03_17:26:24.776,1783092384776,671,RT,34:D2:E3:0F:17:9E,0.9197998,-0.38293457,-0.021850586,0.0,-0.061035153,0.18310545,0.19787164,-0.7107104,0.0773991,-0.6706254,58.0,65.0,71.0,81.0
