Timestamp_Local_Human,Timestamp_Local_EpochMs,Timestamp_Arduino,DeviceName,DeviceAddress,Ax,Ay,Az,Gx,Gy,Gz,Q0,Q1,Q2,Q3,Env1,Env2,Env3,Env4
2026:07:03_17:29:40.623,1783092580623,114,RT,34:D2:E3:0F:17:9E,0.9000244,-0.42956543,-0.031982422,0.3662109,-0.18310545,0.18310545,0.65410167,-0.07034578,-0.7150241,0.23650546,57.0,64.0,71.0,79.0
2026:07:03_17:29:40.625,1783092580625,133,RT,34:D2:E3:0F:17:9E,0.8996582,-0.4281006,-0.031982422,0.48828122,-0.18310545,0.24414061,0.65482,-0.06925581,-0.7147323,0.23571949,56.0,64.0,71.0,79.0
2026:07:03_17:29:40.666,1783092580666,174,RT,34:D2:E3:0F:17:9E,0.9003906,-0.42736816,-0.033203125,0.24414061,-0.122070305,0.061035153,0.6538252,-0.06963822,-0.71553576,0.23593093,53.0,64.0,71.0,80.0
2026:07:03_17:29:40.668,1783092580668,192,RT,34:D2:E3:0F:17:9E,0.9003906,-0.42712402,-0.032348633,0.0,-0.122070305,0.0,0.65457004,-0.06935149,-0.7148702,0.23596694,55.0,64.0,71.0,80.0
2026:07:03_17:29:40.709,1783092580709,206,RT,34:D2:E3:0F:17:9E,0.89990234,-0.42749023,-0.03149414,0.0,-0.122070305,0.0,0.6543194,-0.0703982,-0.7146372,0.23705527,55.0,64.0,72.0,79.0
2026:07:03_17:29:40.715,1783092580715,237,RT,34:D2:E3:0F:17:9E,0.89953613,-0.42871094,-0.030883789,-0.061035153,0.0,0.061035153,0.6546023,-0.07015673,-0.7144512,0.23690702,55.0,64.0,72.0,80.0
2026:07:03_17:29:40.629,1783092580629,159,RT,34:D2:E3:0F:17:9E,0.90026855,-0.42651367,-0.03137207,0.3662109,-0.122070305,0.122070305,0.65478563,-0.069265686,-0.7147058,0.23589279,56.0,64.0,72.0,79.0
2026:07:03_17:29:40.974,1783092580974,478,RT,34:D2:E3:0F:17:9E,0.90197754,-0.42321777,-0.030151367,0.8544921,-0.793457,-0.24414061,0.65530866,-0.06734326,-0.7145137,0.23557867,54.0,63.0,71.0,79.0
2026:07:03_17:29:40.757,1783092580757,281,RT,34:D2:E3:0F:17:9E,0.89819336,-0.43017578,-0.030883789,-0.24414061,-0.061035153,0.122070305,0.6541613,-0.07098823,-0.7145802,0.23748806,58.0,64.0,71.0,78.0
2026:07:03_17:29:40.795,1783092580795,308,RT,34:D2:E3:0F:17:9E,0.89733887,-0.4312744,-0.03186035,0.061035153,-0.18310545,0.24414061,0.6540364,-0.07112139,-0.71464705,0.23759021,58.0,64.0,71.0,79.0
2026:07:03_17:29:40.806,1783092580806,333,RT,34:D2:E3:0F:17:9E,0.8985596,-0.43273926,-0.030517578,0.3662109,-0.30517578,0.42724606,0.6539687,-0.07153418,-0.71446157,0.23820993,57.0,65.0,71.0,80.0
2026:07:03_17:29:40.855,1783092580855,376,RT,34:D2:E3:0F:17:9E,0.8996582,-0.43151855,-0.028564453,0.42724606,-0.3662109,0.30517578,0.6545514,-0.0708488,-0.7140682,0.23799437,56.0,64.0,72.0,81.0
2026:07:03_17:29:40.887,1783092580887,391,RT,34:D2:E3:0F:17:9E,0.8997803,-0.43115234,-0.027954102,0.42724606,-0.3662109,0.122070305,0.65532774,-0.070429176,-0.71339434,0.2380025,56.0,64.0,70.0,79.0
2026:07:03_17:29:40.933,1783092580933,450,RT,34:D2:E3:0F:17:9E,0.9005127,-0.4284668,-0.027954102,0.793457,-0.8544921,-0.30517578,0.6557211,-0.069135256,-0.71337366,0.23735988,56.0,64.0,71.0,80.0
2026:07:03_17:29:40.749,1783092580749,251,RT,34:D2:E3:0F:17:9E,0.89868164,-0.4284668,-0.030273438,-0.30517578,0.0,0.0,0.65542096,-0.069642946,-0.71383476,0.23665266,56.0,63.0,71.0,79.0
2026:07:03_17:29:40.976,1783092580976,494,RT,34:D2:E3:0F:17:9E,0.90319824,-0.42236328,-0.029907227,0.8544921,-0.67138666,-0.18310545,0.6557005,-0.06621776,-0.71454954,0.23469631,55.0,65.0,71.0,79.0
2026:07:03_17:29:40.846,1783092580846,348,RT,34:D2:E3:0F:17:9E,0.8970947,-0.43200684,-0.028442383,0.3662109,-0.30517578,0.48828122,0.6546245,-0.07138701,-0.7137974,0.23844399,56.0,65.0,71.0,79.0
2026:07:03_17:29:40.889,1783092580889,423,RT,34:D2:E3:0F:17:9E,0.8963623,-0.43017578,-0.028564453,0.42724606,-0.67138666,-0.122070305,0.6548627,-0.070587836,-0.7137368,0.23820823,57.0,64.0,71.0,79.0
2026:07:03_17:29:40.888,1783092580888,406,RT,34:D2:E3:0F:17:9E,0.8968506,-0.43041992,-0.028198242,0.42724606,-0.61035156,0.0,0.6543888,-0.07120167,-0.7139849,0.23858534,55.0,65.0,70.0,80.0
2026:07:03_17:29:40.932,1783092580932,434,RT,34:D2:E3:0F:17:9E,0.89746094,-0.42956543,-0.028808594,0.5493164,-0.7324218,-0.30517578,0.6550464,-0.06943073,-0.7140332,0.23715338,56.0,63.0,71.0,80.0
2026:07:03_17:29:40.714,1783092580714,222,RT,34:D2:E3:0F:17:9E,0.9001465,-0.42785645,-0.03186035,0.0,-0.061035153,0.061035153,0.65436584,-0.06948557,-0.71502066,0.23603892,56.0,63.0,71.0,79.0
2026:07:03_17:29:41.018,1783092581018,523,RT,34:D2:E3:0F:17:9E,0.9033203,-0.41845703,-0.030029297,0.48828122,-0.24414061,0.061035153,0.6553053,-0.06582886,-0.71505594,0.23436756,56.0,64.0,71.0,79.0
2026:07:03_17:29:40.802,1783092580802,319,RT,34:D2:E3:0F:17:9E,0.8984375,-0.4317627,-0.03173828,0.3662109,-0.30517578,0.3662109,0.65325963,-0.07183632,-0.7151079,0.23812562,57.0,65.0,71.0,78.0
2026:07:03_17:29:40.855,1783092580855,362,RT,34:D2:E3:0F:17:9E,0.8970947,-0.43103027,-0.028320312,0.3662109,-0.30517578,0.3662109,0.6553377,-0.070608534,-0.7133717,0.2379896,57.0,64.0,72.0,79.0
2026:07:03_17:29:41.023,1783092581023,553,RT,34:D2:E3:0F:17:9E,0.9041748,-0.41882324,-0.030151367,-0.061035153,0.0,0.18310545,0.65586454,-0.065605104,-0.71454483,0.23442449,56.0,65.0,70.0,80.0
2026:07:03_17:29:40.934,1783092580934,464,RT,34:D2:E3:0F:17:9E,0.90197754,-0.42492676,-0.029418945,0.793457,-0.8544921,-0.24414061,0.65549064,-0.06828759,-0.7139513,0.23650391,56.0,64.0,70.0,79.0
2026:07:03_17:29:40.626,1783092580626,145,RT,34:D2:E3:0F:17:9E,0.9000244,-0.42590332,-0.030395508,0.48828122,-0.18310545,0.18310545,0.65553856,-0.06902731,-0.714035,0.23590204,56.0,64.0,72.0,80.0
2026:07:03_17:29:40.751,1783092580751,267,RT,34:D2:E3:0F:17:9E,0.8980713,-0.42907715,-0.030395508,-0.3662109,0.061035153,0.0,0.6546591,-0.07036611,-0.71433365,0.23704292,55.0,63.0,70.0,79.0
2026:07:03_17:29:40.979,1783092580979,508,RT,34:D2:E3:0F:17:9E,0.904541,-0.4206543,-0.029785156,0.7324218,-0.5493164,-0.122070305,0.65611327,-0.065112814,-0.7145614,0.2338142,57.0,65.0,70.0,79.0
2026:07:03_17:29:41.022,1783092581022,538,RT,34:D2:E3:0F:17:9E,0.9041748,-0.4169922,-0.030761719,0.30517578,-0.122070305,0.122070305,0.6557622,-0.06480348,-0.7150215,0.23347856,57.0,65.0,71.0,80.0
2026:07:03_17:29:41.065,1783092581065,567,RT,34:D2:E3:0F:17:9E,0.9022217,-0.42248535,-0.028076172,-0.18310545,0.061035153,0.24414061,0.6559478,-0.066181816,-0.71419656,0.23509029,58.0,64.0,72.0,79.0
2026:07:03_17:29:41.066,1783092581066,581,RT,34:D2:E3:0F:17:9E,0.9020996,-0.42443848,-0.029174805,-0.061035153,0.18310545,0.61035156,0.6554777,-0.067296736,-0.7141887,0.23610634,57.0,65.0,72.0,79.0
2026:07:03_17:29:41.071,1783092581071,608,RT,34:D2:E3:0F:17:9E,0.90063477,-0.4260254,-0.030029297,0.0,0.18310545,0.7324218,0.6554085,-0.06739248,-0.71423256,0.23613812,56.0,63.0,70.0,79.0
2026:07:03_17:29:41.070,1783092581070,594,RT,34:D2:E3:0F:17:9E,0.90234375,-0.42541504,-0.029541016,0.0,0.24414061,0.67138666,0.65479773,-0.0682411,-0.71448106,0.23683634,57.0,65.0,72.0,80.0
2026:07:03_17:29:41.109,1783092581109,621,RT,34:D2:E3:0F:17:9E,0.8989258,-0.42871094,-0.028320312,-0.122070305,0.18310545,0.7324218,0.6551963,-0.068622954,-0.7138952,0.23738936,56.0,64.0,71.0,80.0
2026:07:03_17:29:41.112,1783092581112,639,RT,34:D2:E3:0F:17:9E,0.89819336,-0.42993164,-0.02746582,-0.42724606,0.30517578,0.7324218,0.65521663,-0.069789395,-0.7133603,0.238598,54.0,66.0,71.0,82.0
2026:07:03_17:29:41.157,1783092581157,656,RT,34:D2:E3:0F:17:9E,0.8956299,-0.43347168,-0.02722168,-0.48828122,0.30517578,0.7324218,0.65490144,-0.07090318,-0.71320456,0.23959836,55.0,63.0,71.0,79.0
2026:07:03_17:29:41.161,1783092581161,671,RT,34:D2:E3:0F:17:9E,0.895874,-0.43603516,-0.02758789,-0.3662109,0.18310545,0.67138666,0.65443593,-0.072032474,-0.7131901,0.24057487,56.0,62.0,71.0,80.0
2026:07:03_17:29:41.162,1783092581162,685,RT,34:D2:E3:0F:17:9E,0.895874,-0.43737793,-0.028198242,-0.24414061,0.122070305,0.5493164,0.65375274,-0.07295046,-0.7135002,0.24123544,57.0,64.0,70.0,80.0
2026:07:03_17:29:41.199,1783092581199,699,RT,34:D2:E3:0F:17:9E,0.8944092,-0.4383545,-0.026977539,-0.18310545,0.061035153,0.3662109,0.6544287,-0.07306178,-0.7127281,0.24165078,55.0,64.0,72.0,80.0
2026:07:03_17:29:41.201,1783092581201,715,RT,34:D2:E3:0F:17:9E,0.8931885,-0.43847656,-0.026000977,-0.122070305,-0.122070305,0.122070305,0.6546952,-0.07342719,-0.7122623,0.2421909,58.0,64.0,71.0,79.0
2026:07:03_17:29:41.204,1783092581204,727,RT,34:D2:E3:0F:17:9E,0.8942871,-0.43725586,-0.025390625,0.0,-0.24414061,-0.061035153,0.6550048,-0.07239683,-0.7124236,0.24118781,57.0,65.0,71.0,79.0
2026:07:03_17:29:41.245,1783092581245,755,RT,34:D2:E3:0F:17:9E,0.89660645,-0.4345703,-0.026855469,0.67138666,-0.793457,-0.3662109,0.65457326,-0.07211162,-0.7129198,0.24097846,56.0,64.0,71.0,79.0
2026:07:03_17:29:41.248,1783092581248,769,RT,34:D2:E3:0F:17:9E,0.8983154,-0.43225098,-0.027832031,0.9155273,-0.97656244,-0.42724606,0.6546674,-0.071010314,-0.7132669,0.24002081,56.0,64.0,70.0,81.0
2026:07:03_17:29:41.250,1783092581250,784,RT,34:D2:E3:0F:17:9E,0.9003906,-0.43041992,-0.028930664,1.0375977,-1.0375977,-0.42724606,0.6546595,-0.06994648,-0.7136938,0.23908423,56.0,63.0,72.0,79.0
2026:07:03_17:29:41.294,1783092581294,799,RT,34:D2:E3:0F:17:9E,0.9016113,-0.4260254,-0.03149414,1.0986328,-1.0375977,-0.3662109,0.65450156,-0.06903171,-0.71420854,0.23824368,55.0,63.0,70.0,79.0
2026:07:03_17:29:41.297,1783092581297,827,RT,34:D2:E3:0F:17:9E,0.9036865,-0.42199707,-0.03186035,0.8544921,-0.793457,-0.18310545,0.6545254,-0.06697157,-0.71500385,0.23637334,56.0,64.0,71.0,80.0
2026:07:03_17:29:41.297,1783092581297,813,RT,34:D2:E3:0F:17:9E,0.90148926,-0.42504883,-0.03149414,0.9155273,-0.8544921,-0.18310545,0.6544193,-0.06804784,-0.71468407,0.23732522,56.0,65.0,71.0,79.0
2026:07:03_17:29:41.335,1783092581335,842,RT,34:D2:E3:0F:17:9E,0.90319824,-0.42016602,-0.03125,0.67138666,-0.793457,-0.24414061,0.6548173,-0.06593041,-0.71512055,0.23550259,57.0,63.0,71.0,79.0
