Timestamp_Local_Human,Timestamp_Local_EpochMs,Timestamp_Arduino,DeviceName,DeviceAddress,Ax,Ay,Az,Gx,Gy,Gz,Q0,Q1,Q2,Q3,Env1,Env2,Env3,Env4
2026:07:03_17:26:24.265,1783092384265,122,S2,AA:92:DD:D3:57:20,0.013793945,0.935791,0.3343506,0.30517578,0.67138666,0.48828122,0.601197,0.41693568,-0.3966276,-0.55444103,924.0,920.0,922.0,971.0
2026:07:03_17:26:24.312,1783092384312,148,S2,AA:92:DD:D3:57:20,0.014038086,0.9354248,0.33459473,0.48828122,0.122070305,0.3662109,0.60107166,0.41721237,-0.39649725,-0.55446213,923.0,922.0,923.0,970.0
2026:07:03_17:26:24.624,1783092384624,469,S2,AA:92:DD:D3:57:20,0.005859375,0.9333496,0.34033203,0.42724606,0.0,-0.061035153,0.6008776,0.41765162,-0.3930054,-0.5568228,923.0,922.0,924.0,972.0
2026:07:03_17:26:24.627,1783092384627,484,S2,AA:92:DD:D3:57:20,0.009033203,0.9317627,0.33898926,0.42724606,-0.122070305,0.122070305,0.60137755,0.416913,-0.3942635,-0.5559464,922.0,921.0,923.0,971.0
2026:07:03_17:26:24.669,1783092384669,516,S2,AA:92:DD:D3:57:20,0.011352539,0.93029785,0.33862305,0.122070305,-0.122070305,0.0,0.6015546,0.41663155,-0.39422196,-0.5559952,922.0,921.0,922.0,971.0
2026:07:03_17:26:24.674,1783092384674,531,S2,AA:92:DD:D3:57:20,0.013427734,0.93029785,0.33947754,0.24414061,-0.30517578,0.061035153,0.6023356,0.4154602,-0.39492142,-0.55552953,921.0,921.0,924.0,970.0
2026:07:03_17:26:24.444,1783092384444,298,S2,AA:92:DD:D3:57:20,0.010009766,0.9310303,0.34020996,0.061035153,0.061035153,-0.061035153,0.6017057,0.41646954,-0.39331186,-0.55659735,923.0,921.0,922.0,970.0
2026:07:03_17:26:24.491,1783092384491,328,S2,AA:92:DD:D3:57:20,0.011230469,0.93188477,0.33996582,0.122070305,0.061035153,0.0,0.60156107,0.4166868,-0.3937478,-0.55628276,923.0,922.0,923.0,971.0
2026:07:03_17:26:24.714,1783092384714,559,S2,AA:92:DD:D3:57:20,0.00793457,0.9309082,0.33605957,0.30517578,-0.3662109,0.18310545,0.6010792,0.41719073,-0.3943919,-0.55596995,922.0,922.0,923.0,971.0
2026:07:03_17:26:24.536,1783092384536,386,S2,AA:92:DD:D3:57:20,0.010131836,0.93200684,0.3363037,0.7324218,-0.061035153,0.18310545,0.6011066,0.4173287,-0.39525145,-0.55522543,923.0,921.0,922.0,970.0
2026:07:03_17:26:24.537,1783092384537,398,S2,AA:92:DD:D3:57:20,0.013061523,0.9298096,0.33740234,0.793457,0.0,0.122070305,0.60174805,0.41642305,-0.39519843,-0.5552483,922.0,921.0,922.0,970.0
2026:07:03_17:26:24.718,1783092384718,590,S2,AA:92:DD:D3:57:20,0.011474609,0.9334717,0.34106445,-0.3662109,-0.24414061,0.24414061,0.60198575,0.4158457,-0.39423785,-0.55610573,922.0,921.0,922.0,971.0
2026:07:03_17:26:24.582,1783092384582,443,S2,AA:92:DD:D3:57:20,0.0146484375,0.93151855,0.3404541,0.5493164,-0.061035153,-0.30517578,0.601874,0.41622034,-0.39486194,-0.5555037,923.0,921.0,923.0,971.0
2026:07:03_17:26:24.309,1783092384309,133,S2,AA:92:DD:D3:57:20,0.014282227,0.9354248,0.33374023,0.48828122,0.24414061,0.48828122,0.60072476,0.41765773,-0.39719537,-0.5540032,921.0,921.0,923.0,971.0
2026:07:03_17:26:24.355,1783092384355,217,S2,AA:92:DD:D3:57:20,0.012817383,0.9313965,0.34143066,0.24414061,0.30517578,0.122070305,0.60169095,0.4165383,-0.39487568,-0.55545324,922.0,921.0,923.0,972.0
2026:07:03_17:26:24.313,1783092384313,163,S2,AA:92:DD:D3:57:20,0.010864258,0.9333496,0.33618164,0.7324218,0.122070305,0.3662109,0.60087484,0.41753626,-0.39563707,-0.5550455,924.0,921.0,922.0,971.0
2026:07:03_17:26:24.805,1783092384805,635,S2,AA:92:DD:D3:57:20,0.010864258,0.9295654,0.34020996,0.122070305,-0.3662109,0.24414061,0.6014974,0.4164549,-0.39340165,-0.55677,921.0,922.0,923.0,970.0
2026:07:03_17:26:24.810,1783092384810,664,S2,AA:92:DD:D3:57:20,0.0107421875,0.9283447,0.34240723,-0.30517578,-0.30517578,0.122070305,0.6027931,0.41452873,-0.393064,-0.5570445,923.0,921.0,923.0,971.0
2026:07:03_17:26:24.409,1783092384409,284,S2,AA:92:DD:D3:57:20,0.01159668,0.932251,0.33911133,0.48828122,-0.122070305,0.061035153,0.60154706,0.41668043,-0.39423928,-0.5559545,921.0,922.0,922.0,972.0
2026:07:03_17:26:24.681,1783092384681,548,S2,AA:92:DD:D3:57:20,0.008666992,0.93115234,0.33813477,0.42724606,-0.3662109,0.18310545,0.60182655,0.41616365,-0.39456883,-0.5558054,921.0,922.0,923.0,970.0
2026:07:03_17:26:24.453,1783092384453,313,S2,AA:92:DD:D3:57:20,0.008911133,0.93273926,0.34106445,-0.18310545,0.061035153,-0.061035153,0.6009935,0.41749734,-0.39286876,-0.5569098,922.0,922.0,922.0,970.0
2026:07:03_17:26:24.498,1783092384498,342,S2,AA:92:DD:D3:57:20,0.012939453,0.9310303,0.3395996,0.5493164,0.0,0.18310545,0.6021426,0.41585436,-0.3947347,-0.5555766,921.0,922.0,922.0,970.0
2026:07:03_17:26:24.582,1783092384582,424,S2,AA:92:DD:D3:57:20,0.016357422,0.92663574,0.3416748,0.8544921,0.0,-0.18310545,0.60275143,0.41499078,-0.3949756,-0.55539095,923.0,921.0,921.0,972.0
2026:07:03_17:26:24.585,1783092384585,455,S2,AA:92:DD:D3:57:20,0.0107421875,0.9334717,0.3395996,0.42724606,0.0,-0.18310545,0.60132897,0.41700056,-0.39395246,-0.55615354,923.0,921.0,923.0,970.0
