Timestamp_Local_Human,Timestamp_Local_EpochMs,Timestamp_Arduino,DeviceName,DeviceAddress,Ax,Ay,Az,Gx,Gy,Gz,Q0,Q1,Q2,Q3,Env1,Env2,Env3,Env4
2026:07:03_17:29:40.635,1783092580635,111,S2,AA:92:DD:D3:57:20,0.012817383,0.9382324,0.31811523,-0.061035153,0.24414061,0.18310545,-0.118983045,0.64341295,-0.73162454,0.1912586,921.0,921.0,35.0,972.0
2026:07:03_17:29:40.713,1783092580713,213,S2,AA:92:DD:D3:57:20,0.012084961,0.9403076,0.3199463,-0.5493164,-0.122070305,-0.061035153,-0.11720109,0.6438509,-0.73199755,0.18944868,922.0,922.0,36.0,972.0
2026:07:03_17:29:40.760,1783092580760,260,S2,AA:92:DD:D3:57:20,0.010375977,0.9411621,0.3166504,0.18310545,-0.24414061,0.122070305,-0.11645122,0.6440533,-0.7321606,0.18859169,922.0,920.0,34.0,971.0
2026:07:03_17:29:40.813,1783092580813,332,S2,AA:92:DD:D3:57:20,0.013916016,0.94018555,0.31713867,0.0,0.24414061,0.3662109,-0.11533068,0.64422154,-0.7324737,0.1874863,922.0,921.0,36.0,972.0
2026:07:03_17:29:40.983,1783092580983,486,S2,AA:92:DD:D3:57:20,0.01586914,0.94262695,0.32409668,-0.061035153,0.7324218,0.3662109,-0.11192678,0.6445109,-0.7333996,0.18491776,922.0,920.0,34.0,971.0
2026:07:03_17:29:40.987,1783092580987,514,S2,AA:92:DD:D3:57:20,0.017700195,0.9375,0.3244629,0.122070305,0.30517578,0.122070305,-0.11151142,0.6445651,-0.73349476,0.18460211,923.0,921.0,35.0,972.0
2026:07:03_17:29:40.893,1783092580893,391,S2,AA:92:DD:D3:57:20,0.012939453,0.9354248,0.32104492,-0.3662109,0.30517578,0.30517578,-0.11420085,0.6443297,-0.732798,0.18653668,922.0,920.0,35.0,972.0
2026:07:03_17:29:40.859,1783092580859,376,S2,AA:92:DD:D3:57:20,0.013793945,0.93652344,0.32214355,0.061035153,0.30517578,0.3662109,-0.11456713,0.6442891,-0.7326963,0.1868515,921.0,920.0,36.0,971.0
2026:07:03_17:29:40.936,1783092580936,424,S2,AA:92:DD:D3:57:20,0.011230469,0.9355469,0.32299805,-0.9155273,0.67138666,0.18310545,-0.11347146,0.64441687,-0.7329793,0.18596755,923.0,921.0,35.0,972.0
2026:07:03_17:29:40.940,1783092580940,454,S2,AA:92:DD:D3:57:20,0.012817383,0.9433594,0.32202148,-0.8544921,0.7324218,0.3662109,-0.112649746,0.6444802,-0.7331974,0.18538645,921.0,920.0,34.0,972.0
2026:07:03_17:29:40.675,1783092580675,198,S2,AA:92:DD:D3:57:20,0.013305664,0.9378662,0.31958008,-0.5493164,-0.122070305,-0.061035153,-0.117535524,0.64375377,-0.7319359,0.1898095,923.0,920.0,35.0,971.0
2026:07:03_17:29:40.672,1783092580672,170,S2,AA:92:DD:D3:57:20,0.013671875,0.93652344,0.31835938,0.122070305,0.0,-0.061035153,-0.11807124,0.64359677,-0.7318384,0.19038446,922.0,921.0,35.0,973.0
2026:07:03_17:29:40.671,1783092580671,155,S2,AA:92:DD:D3:57:20,0.012207031,0.9375,0.31933594,0.3662109,0.061035153,0.061035153,-0.11831047,0.6435273,-0.7318008,0.19061531,922.0,920.0,35.0,971.0
2026:07:03_17:29:40.763,1783092580763,275,S2,AA:92:DD:D3:57:20,0.01184082,0.93933105,0.31555176,0.3662109,-0.18310545,0.18310545,-0.11625957,0.64409876,-0.73220867,0.18836787,921.0,921.0,36.0,972.0
2026:07:03_17:29:40.809,1783092580809,319,S2,AA:92:DD:D3:57:20,0.013427734,0.9388428,0.31567383,0.0,0.18310545,0.3662109,-0.11558509,0.64419824,-0.7323972,0.18770854,922.0,921.0,35.0,972.0
2026:07:03_17:29:40.809,1783092580809,300,S2,AA:92:DD:D3:57:20,0.012451172,0.93969727,0.31591797,0.30517578,0.0,0.24414061,-0.11588622,0.64416826,-0.7323055,0.18798389,921.0,921.0,34.0,972.0
2026:07:03_17:29:40.856,1783092580856,347,S2,AA:92:DD:D3:57:20,0.013427734,0.93859863,0.31860352,0.18310545,0.24414061,0.3662109,-0.11507983,0.64424306,-0.7325493,0.18727115,922.0,922.0,34.0,971.0
2026:07:03_17:29:40.858,1783092580858,362,S2,AA:92:DD:D3:57:20,0.013305664,0.93725586,0.32055664,0.18310545,0.30517578,0.30517578,-0.11482771,0.64426816,-0.732619,0.1870672,923.0,921.0,35.0,972.0
2026:07:03_17:29:40.943,1783092580943,471,S2,AA:92:DD:D3:57:20,0.014282227,0.9433594,0.3244629,-0.793457,0.7324218,0.42724606,-0.1123907,0.6444923,-0.73327285,0.18520321,922.0,922.0,36.0,971.0
2026:07:03_17:29:40.671,1783092580671,144,S2,AA:92:DD:D3:57:20,0.012084961,0.9388428,0.32080078,0.122070305,0.122070305,0.30517578,-0.11852871,0.6434755,-0.73175836,0.1908175,921.0,919.0,35.0,971.0
2026:07:03_17:29:40.895,1783092580895,409,S2,AA:92:DD:D3:57:20,0.011474609,0.9342041,0.3223877,-0.67138666,0.3662109,0.24414061,-0.113871746,0.6443712,-0.73288363,0.1862582,921.0,922.0,36.0,972.0
